nintei_05	平均幅員－ブロック番号別	調書名=路線認定調書（平均幅員）－ブロック番号別
nintei_06	平均幅員－ブロック番号別実延長値使用	調書名=路線認定調書（平均幅員）－ブロック番号別実延長値使用
nintei_07	平均幅員－ブロック番号別道路敷幅員・実延長値使用	調書名=路線認定調書（平均幅員）－ブロック番号別道路敷幅員・実延長値使用
nintei_08	平均幅員－ブロック番号別道路敷幅員使用	調書名=路線認定調書（平均幅員）－ブロック番号別道路敷幅員使用
nintei_09	平均幅員－実延長値使用	調書名=路線認定調書（平均幅員）－実延長値使用
nintei_10	平均幅員－道路種別別	調書名=路線認定調書（平均幅員）－道路種別別
nintei_11	平均幅員－道路種別別実延長値使用	調書名=路線認定調書（平均幅員）－道路種別別実延長値使用
nintei_12	平均幅員－道路種別別道路敷幅員・実延長値使用	調書名=路線認定調書（平均幅員）－道路種別別道路敷幅員・実延長値使用
nintei_13	平均幅員－道路種別別道路敷幅員使用	調書名=路線認定調書（平均幅員）－道路種別別道路敷幅員使用
nintei_14	平均幅員－道路敷幅員・実延長値使用	調書名=路線認定調書（平均幅員）－道路敷幅員・実延長値使用
nintei_15	平均幅員－道路敷幅員使用	調書名=路線認定調書（平均幅員）－道路敷幅員使用
nintei_16	ブロック番号別　実延長値使用	調書名=路線認定調書－ブロック番号別実延長値使用
nintei_17	ブロック番号別　道路敷幅員・実延長値使用	調書名=路線認定調書－ブロック番号別道路敷幅員・実延長値使用
nintei_18	ブロック番号別　道路敷幅員使用	調書名=路線認定調書－ブロック番号別道路敷幅員使用
nintei_19	実延長値使用	調書名=路線認定調書－実延長値使用
nintei_20	道路種別別　実延長値使用	調書名=路線認定調書－道路種別別実延長値使用
nintei_21	道路種別別　道路敷幅員・実延長値使用	調書名=路線認定調書－道路種別別道路敷幅員・実延長値使用
nintei_22	道路種別別　道路敷幅員使用	調書名=路線認定調書－道路種別別道路敷幅員使用
nintei_23	道路敷幅員・実延長値使用	調書名=路線認定調書－道路敷幅員・実延長値使用
nintei_24	道路敷幅員使用	調書名=路線認定調書－道路敷幅員使用
norindo_01	農林道台帳	調書名=農林道台帳
rosen_01	道路台帳第１表	調書名=道路台帳第１表
rosen_02	第２表（実延長調書）	調書名=道路台帳第２表（実延長調書）
rosen_03	実延長面積調書	調書名=実延長面積調書
rosen_04	現況区間調書（１）	調書名=道路現況区間調書（１）
rosen_05	現況区間調書（２）	調書名=道路現況区間調書（２）
rosen_06	道路現況総括表	調書名=道路現況総括表
rosen_07	新潟県仕様	調書名=道路現況調書「新潟県仕様」
rosen_08	旭川市道路台帳	調書名=旭川市道路台帳
rosen_09	旭川市実延長面積調書	調書名=旭川市実延長面積調書
rosen_10	道路台帳第１表－異動路線	調書名=道路台帳第１表－異動路線
rosen_11	道路台帳第２表（実延長調書）－異動路線	調書名=道路台帳第２表（実延長調書）－異動路線
rosen_12	実延長面積調書－異動路線	調書名=実延長面積調書－異動路線
rosen_13	新潟県仕様－異動路線	調書名=道路現況調書「新潟県仕様」－異動路線
rosen_14	現況区間調書（１）－異動路線	調書名=道路現況区間調書（１）－異動路線
rosen_15	現況区間調書（２）－異動路線	調書名=道路現況区間調書（２）－異動路線
shichoson_01	市町村公共施設－３	調書名=市町村公共施設－３
shinkyutaisho_01	新旧対照一覧表	調書名=道路台帳新旧対照一覧表
sokko_01	側溝現況調書	調書名=側溝現況調書
tokyo_01	道路現況調査表　東京都仕様	調書名=道路現況調査表東京都仕様
